"filename", "language", "pip requirements", "Python", "toml", "Shell Script", "Markdown", "Ini", "comment", "blank", "total"
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\QuakStore\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\QuakStore\asgi.py", "Python", 0, 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\QuakStore\settings.py", "Python", 0, 194, 0, 0, 0, 0, 18, 61, 273
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\QuakStore\urls.py", "Python", 0, 41, 0, 0, 0, 0, 0, 4, 45
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\QuakStore\wsgi.py", "Python", 0, 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\cart\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\cart\admin.py", "Python", 0, 3, 0, 0, 0, 0, 1, 3, 7
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\cart\apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\cart\migrations\0001_initial.py", "Python", 0, 24, 0, 0, 0, 0, 1, 7, 32
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\cart\migrations\0002_cartitem_user_cartitem_unique_user_product.py", "Python", 0, 21, 0, 0, 0, 0, 1, 6, 28
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\cart\migrations\0003_alter_cartitem_date_added_and_more.py", "Python", 0, 23, 0, 0, 0, 0, 1, 6, 30
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\cart\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\cart\models.py", "Python", 0, 25, 0, 0, 0, 0, 1, 9, 35
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\cart\serializers.py", "Python", 0, 49, 0, 0, 0, 0, 0, 14, 63
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\cart\tests.py", "Python", 0, 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\cart\urls.py", "Python", 0, 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\cart\views.py", "Python", 0, 34, 0, 0, 0, 0, 1, 7, 42
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\common\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\common\throttles.py", "Python", 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\favorites\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\favorites\admin.py", "Python", 0, 3, 0, 0, 0, 0, 1, 3, 7
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\favorites\apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\favorites\migrations\0001_initial.py", "Python", 0, 21, 0, 0, 0, 0, 1, 7, 29
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\favorites\migrations\0002_alter_favorite_product_alter_favorite_user_and_more.py", "Python", 0, 25, 0, 0, 0, 0, 1, 6, 32
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\favorites\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\favorites\models.py", "Python", 0, 22, 0, 0, 0, 0, 1, 5, 28
